ID,STORE,NAME,X,Y,CLASS,CLIMATE,FOOD,DC,MILES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TTL
479 ,961 ,RAL-CARY,-78.78,35.75,A+,4,Y,594 ,167 ,47033 ,46809 ,61276 ,46303 ,44393 ,60684 ,51283 ,54541 ,59436 ,50653 ,62810 ,81820 ,667042 
480 ,962 ,ROCKY MOUNT,-77.85,35.99,D,4,Y,594 ,228 ,18907 ,19758 ,25864 ,19544 ,18738 ,25614 ,21646 ,23021 ,25087 ,20362 ,25249 ,32891 ,276683 
481 ,963 ,MYRTLE BEACH,-78.91,33.7,C,7, ,594 ,117 ,24698 ,25810 ,33787 ,25531 ,24478 ,33460 ,28277 ,30073 ,32772 ,26599 ,32983 ,42966 ,361432 
482 ,964 ,GOLDSBORO,-77.9,35.37,C,4,Y,594 ,200 ,20690 ,21621 ,28304 ,21388 ,20505 ,28030 ,23688 ,25193 ,27454 ,22283 ,27631 ,35993 ,302780 
483 ,966 ,CLT-HUNTERSVILLE,-80.86291,35.444547,B,4,Y,3811 ,31 ,26793 ,27999 ,36652 ,27696 ,26553 ,36298 ,30675 ,32623 ,35551 ,28855 ,35780 ,46610 ,392084 
484 ,967 ,JAX-JACKSONVILLE BEACH,-81.41,30.28,B,7,Y,3808 ,124 ,29078 ,30387 ,39779 ,30059 ,28819 ,39395 ,33292 ,35407 ,38584 ,31316 ,38833 ,50586 ,425534 
485 ,968 ,MIA-BIRD ROAD,-80.31,25.74,A+,6,Y,3808 ,460 ,50472 ,50232 ,65757 ,49689 ,47639 ,65122 ,57785 ,61456 ,66971 ,54357 ,67403 ,87803 ,724687 
486 ,969 ,CARTERSVILLE,-84.78,34.21,D,4, ,580 ,153 ,14647 ,15306 ,20036 ,15140 ,14516 ,19843 ,16769 ,17834 ,19434 ,15774 ,19560 ,25480 ,214339 
487 ,970 ,ATL-ALPHARETTA,-84.25,34.03,B,4, ,594 ,232 ,22657 ,23677 ,30994 ,23421 ,22455 ,30695 ,25940 ,27588 ,30063 ,24401 ,30257 ,39415 ,331562 
488 ,981 ,ATL-COBB,-84.59,34.04,C,4,Y,580 ,174 ,23022 ,24058 ,31494 ,23798 ,22817 ,31190 ,26358 ,28032 ,30548 ,24794 ,30745 ,40050 ,336906 
489 ,982 ,ATL-NORCROSS,-84.23,33.97,D,4, ,594 ,231 ,17341 ,18121 ,23722 ,17925 ,17186 ,23493 ,19853 ,21114 ,23009 ,18675 ,23157 ,30166 ,253763 
490 ,984 ,CLE-MEDINA,-81.86,41.14,B,1,Y,587 ,249 ,29945 ,31293 ,40964 ,30955 ,29678 ,40569 ,34284 ,36462 ,39734 ,32250 ,39990 ,52094 ,438215 
491 ,985 ,CLE-STRONGSVILLE,-81.83,41.31,B,1, ,587 ,248 ,34115 ,35651 ,46669 ,35266 ,33811 ,46219 ,39058 ,41540 ,45267 ,36741 ,45559 ,59349 ,499246 
492 ,986 ,AKR-FAIRLAWN,-81.64,41.16,D,1, ,3804 ,140 ,18089 ,18903 ,24745 ,18699 ,17927 ,24506 ,20710 ,22025 ,24002 ,19481 ,24157 ,31468 ,264713 
493 ,988 ,AKR-STOW,-81.44,41.18,C,1,Y,3804 ,152 ,20852 ,21791 ,28526 ,21556 ,20666 ,28250 ,23874 ,25390 ,27669 ,22457 ,27847 ,36276 ,305156 
494 ,989 ,COL-HEATH,-82.33,40.01,D,2, ,3804 ,66 ,14686 ,15347 ,20090 ,15181 ,14555 ,19896 ,16814 ,17882 ,19487 ,15816 ,19613 ,25549 ,214917 
495 ,990 ,COL-LANCASTER,-82.61,39.7,D,2, ,3804 ,55 ,14738 ,15402 ,20162 ,15235 ,14607 ,19967 ,16874 ,17946 ,19556 ,15873 ,19682 ,25639 ,215681 
496 ,991 ,MIDDLETOWN,-84.42,39.45,D,2, ,559 ,127 ,12378 ,12935 ,16933 ,12795 ,12268 ,16769 ,14172 ,15072 ,16424 ,13331 ,16530 ,21533 ,181141 
497 ,992 ,CAPE GIRARDEAU,-89.58,37.33,C,2,Y,559 ,312 ,21446 ,22411 ,29338 ,22169 ,21254 ,29054 ,24553 ,26113 ,28456 ,23096 ,28640 ,37308 ,313839 
498 ,993 ,HOU-COPPERFIELD,-95.65,29.83,C,7, ,578 ,209 ,26009 ,27180 ,35581 ,26886 ,25777 ,35237 ,29778 ,31670 ,34512 ,28011 ,34734 ,45247 ,380623 
499 ,995 ,SEA-REDMOND,-122.12,47.68,A+,1,Y,558 ,252 ,51236 ,53542 ,70090 ,52963 ,50778 ,69413 ,58659 ,62386 ,67984 ,55179 ,68423 ,89132 ,749784 
500 ,996 ,SEA-ISSAQUAH,-121.97,47.49,A+,1, ,558 ,246 ,45484 ,47532 ,62222 ,47018 ,45078 ,61621 ,52075 ,55383 ,60353 ,48985 ,60742 ,79127 ,665621 
501 ,997 ,GROSSMONT,-117.02,32.78,A,5,Y,3806 ,105 ,43877 ,43669 ,57166 ,43197 ,41415 ,56613 ,50235 ,53426 ,60143 ,49172 ,56678 ,74413 ,630005 
502 ,1000 ,BWI-WESTMINSTER,-76.98,39.55,A,2, ,560 ,184 ,31688 ,33115 ,43349 ,32757 ,31406 ,42931 ,36280 ,38585 ,42047 ,34127 ,42318 ,55127 ,463730 
