ID,STORE,NAME,X,Y,CLASS,CLIMATE,FOOD,DC,MILES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TTL
1 ,3 ,CRYSTAL,-93.38,45.06,B,1,Y,551 ,15 ,33468 ,33309 ,43604 ,34596 ,33169 ,45342 ,38317 ,40751 ,44408 ,36044 ,44695 ,58222 ,485926 
2 ,4 ,DULUTH,-92.22,46.84,A+,1,Y,551 ,148 ,54660 ,57120 ,74774 ,56503 ,54172 ,74052 ,62580 ,66556 ,72528 ,58867 ,72996 ,95089 ,799899 
3 ,5 ,BLOOMINGTON,-93.31,44.83,A,1,Y,590 ,200 ,41714 ,41516 ,54347 ,43120 ,41341 ,56513 ,47758 ,50792 ,55350 ,44924 ,55707 ,72567 ,605648 
4 ,12 ,BRIDGETON,-90.43,38.77,C,1,Y,3809 ,281 ,30082 ,31436 ,41152 ,31097 ,29814 ,40755 ,34441 ,36629 ,39916 ,32398 ,40174 ,52333 ,440227 
5 ,13 ,N.DALLAS,-96.79,32.94,C,4,Y,578 ,97 ,21721 ,21618 ,28300 ,21385 ,20502 ,28026 ,23685 ,25189 ,27450 ,23393 ,29008 ,37788 ,308065 
6 ,18 ,COLORADO SPRINGS,-104.77,38.85,D,1, ,554 ,47 ,12350 ,12906 ,16895 ,12766 ,12240 ,16731 ,14139 ,15038 ,16387 ,13301 ,16493 ,21485 ,180731 
7 ,19 ,TULSA,-95.9,36.15,B,4, ,3803 ,218 ,29590 ,30921 ,40478 ,30587 ,29325 ,40087 ,33877 ,36029 ,39262 ,31867 ,39515 ,51475 ,433014 
8 ,24 ,GREENFIELD,-87.94,42.96,C,1, ,557 ,37 ,24233 ,25323 ,33150 ,25050 ,24016 ,32830 ,27744 ,29506 ,32154 ,26098 ,32361 ,42156 ,354621 
9 ,26 ,BALLWIN,-90.56,38.6,B,1, ,559 ,252 ,28937 ,30239 ,39585 ,29912 ,28678 ,39203 ,33130 ,35234 ,38396 ,31164 ,38644 ,50340 ,423462 
10 ,41 ,S.DENVER,-105.11,39.66,D,1, ,554 ,114 ,14613 ,15271 ,19991 ,15106 ,14483 ,19798 ,16731 ,17794 ,19390 ,15738 ,19515 ,25422 ,213853 
11 ,43 ,OKLAHOMA CITY N,-97.58,35.52,B,4, ,3803 ,291 ,29542 ,30871 ,40413 ,30538 ,29278 ,40022 ,33822 ,35971 ,39199 ,31816 ,39452 ,51392 ,432315 
12 ,44 ,OKLAHOMA CITY S,-97.53,35.43,D,4, ,3803 ,294 ,16563 ,17309 ,22658 ,17122 ,16415 ,22439 ,18963 ,20168 ,21977 ,17838 ,22119 ,28814 ,242385 
13 ,48 ,ARVADA,-105.07,39.83,C,1,Y,554 ,123 ,24834 ,24716 ,32355 ,24449 ,23440 ,32042 ,28432 ,30239 ,32952 ,26746 ,33165 ,43203 ,356573 
14 ,52 ,LAKE ST.,-93.22,44.94,B,1,Y,551 ,19 ,35621 ,37224 ,51165 ,36822 ,35303 ,48258 ,40782 ,43373 ,47265 ,38363 ,47570 ,61968 ,523714 
15 ,55 ,MEDALLION,-96.74,32.83,B,4,Y,578 ,89 ,37952 ,37772 ,49446 ,37364 ,35822 ,48968 ,41382 ,44011 ,50358 ,40873 ,50683 ,66023 ,540653 
16 ,57 ,NORTHRIDGE,-88.04,43.16,D,1, ,557 ,30 ,21670 ,22645 ,29644 ,22401 ,21477 ,29358 ,24810 ,26386 ,28754 ,23338 ,28939 ,37698 ,317120 
17 ,61 ,FARGO,-96.82,46.86,AA,1,Y,551 ,232 ,62253 ,65055 ,85161 ,64352 ,61697 ,84338 ,71273 ,75800 ,82603 ,67044 ,83135 ,108298 ,911008 
18 ,64 ,BOULDER,-105.2,40.05,AA,1,Y,554 ,143 ,58424 ,58147 ,76118 ,57518 ,55145 ,79151 ,66889 ,71139 ,77523 ,62921 ,78023 ,101637 ,842635 
19 ,67 ,PLANO,-96.74,33.02,C,4,Y,578 ,101 ,21784 ,21680 ,28381 ,21446 ,20561 ,28107 ,23753 ,25261 ,28905 ,23461 ,29091 ,37896 ,310326 
20 ,68 ,E ST. PAUL,-93.05,44.96,C,1,Y,551 ,23 ,27296 ,27166 ,35562 ,26872 ,25764 ,35218 ,31251 ,33236 ,36218 ,29397 ,36452 ,47485 ,391916 
21 ,69 ,W.DES MOINES,-93.79,41.57,B,1, ,590 ,118 ,28390 ,29668 ,38837 ,29347 ,28136 ,38462 ,32503 ,34568 ,37670 ,30575 ,37913 ,49388 ,415458 
22 ,75 ,WESTCHASE,-95.56,29.74,C,7,Y,578 ,216 ,20944 ,21887 ,28651 ,21650 ,20757 ,28375 ,23979 ,25502 ,27791 ,22556 ,27970 ,36435 ,306497 
23 ,76 ,SIOUX FALLS,-96.84,43.52,A+,1, ,590 ,283 ,51523 ,53842 ,70483 ,53261 ,51063 ,69802 ,58989 ,62736 ,68366 ,55489 ,68807 ,89632 ,753994 
24 ,78 ,ALTON,-90.13,38.94,C,1, ,3809 ,262 ,27084 ,28303 ,37051 ,27997 ,26842 ,36693 ,31009 ,32978 ,35938 ,29169 ,36170 ,47117 ,396351 
25 ,79 ,FT.COLLINS,-105.03,40.53,B,1, ,554 ,170 ,27317 ,28547 ,37370 ,28239 ,27074 ,37009 ,31276 ,33262 ,36247 ,29420 ,36481 ,47523 ,399765 
26 ,80 ,WICHITA FALLS,-98.54,33.86,C,4, ,3803 ,433 ,19735 ,20623 ,26997 ,20401 ,19559 ,26737 ,22595 ,24030 ,26186 ,21254 ,26355 ,34332 ,288804 
27 ,82 ,WAUKESHA,-88.21,43.02,B,1, ,557 ,22 ,32153 ,33600 ,43985 ,33237 ,31866 ,43560 ,36812 ,39150 ,42664 ,34628 ,42939 ,55935 ,470529 
28 ,83 ,LUBBOCK,-101.87,33.48,C,4, ,3801 ,328 ,23529 ,24588 ,32187 ,24322 ,23319 ,31876 ,26938 ,28649 ,31220 ,25340 ,31422 ,40932 ,344321 
29 ,84 ,CARROLLTON,-96.9,33.01,D,4, ,578 ,108 ,13339 ,13939 ,18248 ,13789 ,13220 ,18071 ,15272 ,16242 ,17699 ,14366 ,17814 ,23205 ,195203 
30 ,85 ,MINOT,-101.31,48.1,C,1, ,551 ,502 ,28694 ,29985 ,39253 ,29661 ,28438 ,38874 ,32851 ,34938 ,38074 ,30902 ,38319 ,49917 ,419907 
31 ,86 ,DUBUQUE,-90.67,42.43,C,1, ,3809 ,130 ,27333 ,28563 ,37391 ,28255 ,27089 ,37030 ,31293 ,33281 ,36268 ,29437 ,36502 ,47550 ,399993 
32 ,90 ,MEMPHIS CENTRAL,-89.91,35.12,A+,4,Y,580 ,202 ,41147 ,40952 ,53609 ,40509 ,38838 ,53091 ,44866 ,47716 ,51998 ,44314 ,54950 ,71582 ,583572 
33 ,92 ,WICHITA E,-97.23,37.67,D,1, ,3803 ,131 ,13052 ,13640 ,17856 ,13493 ,12936 ,17683 ,14944 ,15893 ,17319 ,14057 ,17431 ,22707 ,191011 
34 ,93 ,GRAND JUNCTION,-108.6,39.19,B,1, ,554 ,301 ,26716 ,27918 ,36547 ,27617 ,26477 ,36194 ,30587 ,32530 ,35449 ,28772 ,35678 ,46476 ,390961 
35 ,95 ,AUSTIN N,-97.71,30.39,C,7, ,578 ,229 ,19114 ,19974 ,26147 ,19758 ,18943 ,25895 ,21883 ,23273 ,25362 ,20585 ,25526 ,33251 ,279713 
36 ,96 ,AUSTIN S,-97.77,30.24,B,7, ,578 ,239 ,28745 ,30039 ,39323 ,29714 ,28489 ,38943 ,32910 ,35001 ,38142 ,30958 ,38388 ,50006 ,420658 
37 ,100 ,RIDGEDALE,-93.43,44.96,AA,1,Y,590 ,213 ,50795 ,50554 ,66178 ,50008 ,47945 ,68816 ,58155 ,61850 ,67400 ,54705 ,67835 ,88366 ,732607 
38 ,107 ,ANDERSON,-85.68,40.05,D,1, ,559 ,53 ,13942 ,14570 ,19072 ,14412 ,13818 ,18888 ,15962 ,16976 ,18499 ,15015 ,18619 ,24254 ,204027 
39 ,108 ,EVANSVILLE N,-87.58,38.03,B,2, ,559 ,155 ,29751 ,31090 ,40699 ,30754 ,29486 ,40306 ,34062 ,36226 ,39477 ,32041 ,39731 ,51756 ,435380 
40 ,111 ,KOKOMO,-86.09,40.44,D,1, ,559 ,63 ,15321 ,16011 ,20959 ,15838 ,15185 ,20757 ,17541 ,18656 ,20330 ,16501 ,20461 ,26654 ,224213 
41 ,120 ,DIXIE HIGHWAY,-85.87,38.15,D,2, ,559 ,139 ,13406 ,14010 ,18340 ,13858 ,13287 ,18163 ,15349 ,16324 ,17789 ,14438 ,17904 ,23322 ,196190 
42 ,137 ,BLOOMINGTON/NORMAL,-88.99,40.54,B,1, ,3809 ,112 ,30214 ,31574 ,41333 ,31233 ,29944 ,40933 ,34592 ,36789 ,40091 ,32540 ,40349 ,52562 ,442154 
43 ,139 ,NEW ALBANY,-85.85,38.29,C,2, ,559 ,126 ,19608 ,20490 ,26823 ,20269 ,19433 ,26564 ,22449 ,23875 ,26017 ,21117 ,26185 ,34110 ,286940 
44 ,144 ,RIVERGATE,-86.7,36.25,C,4, ,580 ,129 ,19515 ,20393 ,26696 ,20173 ,19341 ,26438 ,22343 ,23762 ,25894 ,21017 ,26061 ,33949 ,285583 
45 ,145 ,HICKORY HOLLOW,-86.64,36.04,D,4, ,580 ,118 ,13636 ,14250 ,18654 ,14096 ,13514 ,18474 ,15612 ,16603 ,18093 ,14685 ,18210 ,23722 ,199549 
46 ,146 ,WHITE BRIDGE,-86.87,36.11,A,4,Y,580 ,119 ,38469 ,40201 ,52626 ,39766 ,38126 ,52117 ,44043 ,46841 ,51045 ,41430 ,51374 ,66923 ,562962 
47 ,147 ,ARAPAHOE,-104.86,39.57,C,1,Y,554 ,99 ,22984 ,22875 ,29944 ,22627 ,21694 ,29655 ,26314 ,27986 ,30497 ,24753 ,30694 ,39984 ,330005 
48 ,151 ,KNOXVILLE S,-84,35.92,B,4, ,3811 ,197 ,28523 ,29806 ,39019 ,29484 ,28268 ,38642 ,32655 ,34730 ,37846 ,30718 ,38091 ,49619 ,417401 
49 ,152 ,RACINE,-87.87,42.73,C,1, ,557 ,55 ,23229 ,24274 ,31777 ,24012 ,23021 ,31470 ,26594 ,28284 ,30822 ,25017 ,31021 ,40410 ,339930 
50 ,154 ,COLORADO SPRINGS N,-104.77995,38.9058,C,1, ,554 ,50 ,22094 ,23088 ,30224 ,22839 ,21896 ,29932 ,25295 ,26902 ,29316 ,23794 ,29505 ,38435 ,323319 
51 ,158 ,BEAUMONT,-94.15,30.15,B,7, ,578 ,199 ,31546 ,32966 ,43154 ,32609 ,31264 ,42737 ,36117 ,38411 ,41858 ,33974 ,42128 ,54878 ,461642 
52 ,162 ,N. LITTLE ROCK,-92.25,34.8,C,4, ,3803 ,456 ,23343 ,24394 ,31933 ,24130 ,23134 ,31624 ,26725 ,28423 ,30973 ,25140 ,31173 ,40608 ,341600 
53 ,164 ,CASPER,-106.28,42.84,D,1, ,554 ,386 ,14338 ,14983 ,19614 ,14821 ,14210 ,19424 ,16415 ,17458 ,19024 ,15441 ,19147 ,24942 ,209817 
54 ,167 ,ALEXANDRIA,-92.48,31.25,C,7, ,578 ,218 ,22807 ,23833 ,31199 ,23576 ,22603 ,30898 ,26111 ,27770 ,30262 ,24562 ,30457 ,39675 ,333753 
55 ,171 ,BILLINGS,-108.58,45.78,B,1, ,554 ,666 ,28235 ,29506 ,38626 ,29187 ,27983 ,38253 ,32327 ,34380 ,37465 ,30409 ,37707 ,49120 ,413198 
56 ,176 ,BITTERS,-98.47,29.59,C,7, ,3801 ,250 ,18673 ,19514 ,25545 ,19303 ,18507 ,25298 ,21379 ,22737 ,24777 ,20110 ,24937 ,32485 ,273264 
57 ,179 ,TUCSON E,-110.88,32.22,C,8, ,588 ,125 ,24451 ,25551 ,33449 ,25275 ,24233 ,33125 ,27994 ,29772 ,32444 ,26333 ,32653 ,42536 ,357815 
58 ,181 ,OXNARD,-119.1769,34.2384,C,5, ,593 ,133 ,30453 ,31823 ,41659 ,31480 ,30181 ,41257 ,34865 ,37080 ,41742 ,34128 ,39337 ,51646 ,445649 
59 ,183 ,PACOIMA,-118.42,34.26,B,5, ,593 ,110 ,40879 ,42720 ,55923 ,42258 ,40515 ,55382 ,46803 ,49776 ,56034 ,45813 ,52806 ,69329 ,598236 
60 ,184 ,ALHAMBRA,-118.13,34.09,A+,5, ,593 ,134 ,48578 ,50764 ,66454 ,50216 ,48144 ,65812 ,55616 ,59149 ,66586 ,54440 ,62750 ,82384 ,710892 
61 ,188 ,SAN BERN. ORANGE SH,-117.26,34.09,C,5, ,3806 ,7 ,24238 ,25329 ,33157 ,25055 ,24021 ,32836 ,27749 ,29512 ,33223 ,27162 ,31309 ,41105 ,354696 
62 ,189 ,COMMERCE,-118.16,34.02,A,5, ,3806 ,50 ,52039 ,54381 ,71189 ,53794 ,51575 ,70501 ,59579 ,63364 ,71330 ,58319 ,67221 ,88255 ,761548 
63 ,190 ,SOUTHGATE,-118.19,33.95,A+,5,Y,3806 ,54 ,58941 ,58661 ,76792 ,60929 ,58415 ,79852 ,67482 ,71768 ,80791 ,66054 ,76137 ,99961 ,855783 
64 ,192 ,GARDEN GR/HARBOR,-118.01,33.78,A,5, ,553 ,52 ,41284 ,43142 ,56476 ,42676 ,40915 ,55930 ,47266 ,50268 ,56588 ,46266 ,53328 ,70014 ,604152 
65 ,193 ,GARDEN GR/BRKHURST,-117.93,33.76,C,5, ,553 ,50 ,26600 ,27797 ,36389 ,27497 ,26363 ,36037 ,30454 ,32389 ,36461 ,29810 ,34360 ,45112 ,389269 
66 ,195 ,LONG BEACH/BELL,-118.12,33.8,AA,5,Y,3806 ,60 ,64285 ,63980 ,83753 ,63288 ,60677 ,82944 ,73599 ,78275 ,88116 ,72043 ,83039 ,109023 ,923023 
67 ,198 ,CULVER CITY,-118.4,34,AAA+,5,Y,3806 ,65 ,94046 ,93599 ,122527 ,92588 ,88768 ,127411 ,107673 ,114513 ,128909 ,105395 ,121483 ,159495 ,1356406 
68 ,199 ,MANHATTAN BEACH,-118.4,33.89,AAA,5,Y,3806 ,68 ,79375 ,78998 ,103413 ,82051 ,78666 ,107535 ,90876 ,96649 ,108799 ,88953 ,102531 ,134614 ,1152460 
69 ,200 ,TORRANCE,-118.35,33.81,AA,5,Y,553 ,67 ,62880 ,62581 ,81923 ,61905 ,59351 ,81132 ,68563 ,72918 ,82086 ,70468 ,81224 ,106640 ,891671 
70 ,201 ,SPORTS ARENA,-117.2,32.78,AA+,5, ,3806 ,106 ,68635 ,71724 ,93891 ,70949 ,68022 ,92985 ,78580 ,83571 ,94078 ,76917 ,88658 ,116400 ,1004410 
71 ,203 ,CHULA VISTA/BRDWAY,-117.05,32.61,A,5,Y,3806 ,115 ,39881 ,39692 ,51959 ,41226 ,39525 ,54030 ,45660 ,48561 ,54666 ,44694 ,51516 ,67636 ,579048 
72 ,204 ,CHULA VISTA/ N 4TH,-117.02,32.63,C,5, ,3806 ,114 ,21523 ,22492 ,29443 ,22249 ,21331 ,29159 ,24642 ,26207 ,29502 ,24120 ,27802 ,36502 ,314972 
73 ,205 ,KEARNEY MESA,-117.17,32.81,C,5, ,3806 ,101 ,21506 ,22474 ,29419 ,22231 ,21314 ,29135 ,24622 ,26186 ,29478 ,24101 ,27779 ,36472 ,314715 
74 ,212 ,RIVERSIDE,-117.45,33.9,B,5, ,553 ,22 ,36647 ,38297 ,50133 ,37883 ,36320 ,49649 ,41957 ,44623 ,50233 ,41070 ,47339 ,62151 ,536300 
75 ,215 ,ST CLOUD,-94.24,45.49,A+,1,Y,551 ,63 ,50461 ,50221 ,65742 ,49678 ,47629 ,65107 ,57772 ,61442 ,66956 ,54345 ,67388 ,87784 ,724524 
76 ,217 ,LINCOLN,-96.66,40.85,B,1, ,3803 ,175 ,31950 ,33388 ,43707 ,33027 ,31665 ,43285 ,36579 ,38903 ,42394 ,34409 ,42667 ,55581 ,467555 
77 ,219 ,ABILENE,-99.81,32.36,C,4, ,3801 ,184 ,22356 ,23362 ,30583 ,23110 ,22157 ,30288 ,25595 ,27221 ,29664 ,24077 ,29856 ,38892 ,327161 
78 ,220 ,EDEN PRAIRIE,-93.43,44.87,A+,1,Y,590 ,205 ,43476 ,43270 ,56643 ,44942 ,43088 ,58900 ,49776 ,52938 ,57688 ,46822 ,58060 ,75633 ,631236 
79 ,221 ,AMARILLO,-101.95,35.18,C,1, ,3803 ,499 ,26123 ,27299 ,35737 ,27004 ,25890 ,35391 ,29909 ,31809 ,34663 ,28134 ,34887 ,45446 ,382292 
80 ,222 ,PUENTE HILLS,-117.9,33.98,B,5,Y,553 ,34 ,34505 ,34341 ,44955 ,33970 ,32569 ,44521 ,39505 ,42015 ,47297 ,38669 ,44572 ,58519 ,495438 
81 ,223 ,MILWAUKEE/CHASE,-87.9,42.97,C,1, ,557 ,38 ,28855 ,30153 ,39473 ,29828 ,28597 ,39092 ,33036 ,35134 ,38287 ,31076 ,38534 ,50197 ,422260 
82 ,224 ,CHEYENNE,-104.88,41.4,C,1, ,554 ,231 ,21928 ,22915 ,29997 ,22667 ,21732 ,29708 ,25105 ,26700 ,29096 ,23616 ,29284 ,38147 ,320896 
83 ,226 ,LAVERNE,-117.76,34.13,B,5,Y,553 ,22 ,38214 ,38032 ,49787 ,39502 ,37873 ,51771 ,43751 ,46530 ,52380 ,42825 ,49362 ,64808 ,554834 
84 ,227 ,SANTA FE SPRINGS,-118.06,33.93,C,5,Y,553 ,44 ,24417 ,24301 ,31812 ,24038 ,23047 ,31504 ,27955 ,29731 ,33469 ,27364 ,31540 ,41410 ,350588 
85 ,228 ,FALLBROOK,-118.68,34.21,C,5,Y,593 ,121 ,29576 ,29436 ,38533 ,29117 ,27916 ,38161 ,33861 ,36013 ,40540 ,33145 ,38204 ,50159 ,424662 
86 ,229 ,CYPRESS,-118.04,33.82,B,5,Y,553 ,50 ,35494 ,35326 ,46244 ,36691 ,35177 ,48087 ,40637 ,43219 ,48652 ,39778 ,45849 ,60196 ,515350 
87 ,230 ,ORANGE,-117.85,33.83,A+,5,Y,553 ,40 ,48296 ,50470 ,66069 ,49925 ,47865 ,65430 ,55294 ,58807 ,66200 ,54124 ,62386 ,81907 ,706773 
88 ,233 ,PARADISE VALLEY,-111.989463,33.600803,B,8,Y,588 ,23 ,32925 ,34407 ,45041 ,34035 ,32631 ,44606 ,37696 ,40091 ,43688 ,35459 ,43970 ,57278 ,481830 
89 ,238 ,APPLETON,-88.4,44.34,C,1, ,557 ,98 ,17980 ,18789 ,24596 ,18586 ,17819 ,24359 ,20585 ,21893 ,23857 ,19364 ,24011 ,31279 ,263118 
90 ,239 ,COLUMBIA,-92.4,38.9,B,1, ,3803 ,198 ,28263 ,29535 ,38664 ,29216 ,28011 ,38290 ,32358 ,34414 ,37502 ,30438 ,37744 ,49168 ,413603 
91 ,240 ,BROOKLYN CENTER,-93.3,45.06,C,1,Y,551 ,9 ,22662 ,22555 ,29526 ,22311 ,21391 ,29240 ,24711 ,26280 ,30071 ,24407 ,30265 ,39425 ,322842 
92 ,245 ,LANCASTER,-118.15,34.73,C,5, ,593 ,101 ,26177 ,27356 ,35810 ,27060 ,25944 ,35464 ,29970 ,31874 ,35881 ,29336 ,33814 ,44395 ,383083 
93 ,246 ,SIMI VALLEY,-118.77,34.28,A,5, ,593 ,126 ,41648 ,43522 ,56974 ,43052 ,41276 ,56423 ,47682 ,50711 ,57087 ,46674 ,53798 ,70632 ,609478 
94 ,249 ,WESTMINSTER,-117.99,33.75,B,5,Y,553 ,53 ,37851 ,37671 ,49314 ,39127 ,37513 ,51279 ,43335 ,46088 ,51882 ,42418 ,48893 ,64192 ,549564 
95 ,250 ,SANTA ANA,-117.91,33.72,B,5, ,553 ,51 ,36590 ,38236 ,50054 ,37823 ,36263 ,49570 ,41891 ,44552 ,50153 ,41005 ,47264 ,62053 ,535456 
96 ,251 ,MESA CENTRAL,-111.79,33.4,D,8, ,588 ,25 ,16811 ,17567 ,22997 ,17378 ,16661 ,22775 ,19246 ,20469 ,22306 ,18105 ,22450 ,29245 ,246009 
97 ,252 ,CHANDLER,-111.843742,33.338257,D,8, ,588 ,27 ,13862 ,14486 ,18963 ,14329 ,13738 ,18780 ,15871 ,16879 ,18393 ,14929 ,18512 ,24115 ,202857 
98 ,253 ,GREAT FALLS,-111.27,47.31,C,1, ,558 ,783 ,20266 ,21178 ,27723 ,20949 ,20085 ,27456 ,23202 ,24676 ,26891 ,21826 ,27064 ,35255 ,296570 
99 ,254 ,SAN ANGELO,-100.47,31.3,D,4, ,3801 ,249 ,16474 ,17216 ,22537 ,17030 ,16327 ,22319 ,18861 ,20059 ,21860 ,17742 ,22001 ,28659 ,241085 
100 ,255 ,IRVING,-96.96,32.85,D,4, ,578 ,101 ,18017 ,18828 ,24647 ,18625 ,17856 ,24409 ,20628 ,21938 ,23907 ,19404 ,24061 ,31344 ,263665 
101 ,256 ,AURORA,-104.77,39.62,C,1, ,554 ,106 ,18372 ,19199 ,25133 ,18992 ,18208 ,24890 ,21034 ,22371 ,24378 ,19787 ,24535 ,31961 ,268863 
102 ,257 ,NEWHALL (LA),-118.59,34.42,A+,5, ,593 ,95 ,46301 ,48385 ,63339 ,47862 ,45887 ,62727 ,53009 ,56377 ,63465 ,51888 ,59808 ,78523 ,677572 
103 ,258 ,CHINO (LA),-117.683929,34.031161,C,5, ,553 ,19 ,28904 ,30205 ,39540 ,29878 ,28646 ,39158 ,33092 ,35194 ,39619 ,32392 ,37336 ,49019 ,422983 
104 ,259 ,ALIESO VIEJO (LA),-117.73,33.58,A+,5, ,553 ,54 ,48514 ,50698 ,66367 ,50150 ,48081 ,65726 ,55543 ,59072 ,66498 ,54368 ,62667 ,82276 ,709961 
105 ,260 ,ST LOUIS PARK,-93.34,44.95,A,1,Y,551 ,19 ,33817 ,33657 ,44059 ,33293 ,31919 ,43633 ,38717 ,41177 ,44872 ,36420 ,45161 ,58830 ,485556 
106 ,263 ,MEADOWS,-115.21,36.17,D,8, ,588 ,320 ,14335 ,14980 ,19610 ,14818 ,14207 ,19420 ,16412 ,17454 ,19021 ,15438 ,19144 ,24938 ,209777 
107 ,264 ,LAS VEGAS E,-115.11,36.15,C,8, ,588 ,310 ,18925 ,19777 ,25889 ,19563 ,18756 ,25639 ,21667 ,23043 ,25111 ,20382 ,25273 ,32923 ,276948 
108 ,265 ,FLAMINGO,-115.15,36.09,C,8,Y,588 ,309 ,25474 ,26621 ,34849 ,26333 ,25247 ,34512 ,29166 ,31018 ,33802 ,27435 ,34020 ,44317 ,372794 
109 ,267 ,ROSEVILLE,-121.25,38.74,B,3,Y,555 ,33 ,28466 ,29747 ,38941 ,29426 ,28212 ,38565 ,32590 ,34661 ,39018 ,31901 ,36770 ,48276 ,416574 
110 ,271 ,DOUGLAS COUNTY,-104.97,39.55,A,1,Y,554 ,103 ,36565 ,36391 ,47638 ,35998 ,34513 ,47178 ,41863 ,44522 ,48518 ,39379 ,48831 ,63610 ,525007 
111 ,273 ,MODESTO,-121.01,37.67,B,3, ,593 ,197 ,31647 ,33071 ,43293 ,32714 ,31364 ,42874 ,36232 ,38534 ,43379 ,35466 ,40880 ,53671 ,463126 
112 ,274 ,ESCONDIDO,-117.13,33.08,A+,5,Y,553 ,89 ,53895 ,53639 ,70217 ,55712 ,53414 ,73016 ,61704 ,65624 ,73874 ,60399 ,69618 ,91402 ,782516 
113 ,275 ,FRESNO,-119.847377,36.809655,A,3, ,593 ,106 ,39127 ,40888 ,53525 ,40446 ,38778 ,53008 ,44796 ,47642 ,53631 ,43848 ,50542 ,66356 ,572587 
114 ,276 ,VICTORVILLE,-117.36,34.49,B,5, ,553 ,33 ,30689 ,32070 ,41982 ,31723 ,30415 ,41576 ,35135 ,37367 ,42065 ,34392 ,39642 ,52046 ,449102 
115 ,278 ,LAKESIDE,-83,42.67,B,1, ,587 ,156 ,28895 ,30196 ,39529 ,29870 ,28638 ,39147 ,33082 ,35184 ,38341 ,31120 ,38588 ,50268 ,422857 
116 ,279 ,DEARBORN,-83.19,42.33,C,1, ,587 ,138 ,25472 ,26618 ,34845 ,26330 ,25244 ,34508 ,29162 ,31015 ,33798 ,27432 ,34016 ,44312 ,372752 
117 ,280 ,SOUTHLAND,-83.27,42.23,C,1, ,587 ,140 ,25550 ,26700 ,34952 ,26411 ,25322 ,34614 ,29252 ,31110 ,33902 ,27516 ,34120 ,44447 ,373894 
118 ,281 ,WESTLAND,-83.39,42.34,C,1,Y,587 ,129 ,27191 ,28414 ,37196 ,28107 ,26948 ,36837 ,31130 ,33108 ,36079 ,29283 ,36312 ,47302 ,397907 
119 ,282 ,MADISON HEIGHTS,-83.1,42.51,B,1, ,587 ,150 ,28810 ,30107 ,39412 ,29781 ,28553 ,39031 ,32984 ,35080 ,38228 ,31027 ,38474 ,50119 ,421607 
120 ,284 ,WATERFORD,-83.36,42.65,D,1, ,587 ,135 ,14324 ,14969 ,19596 ,14807 ,14196 ,19406 ,16400 ,17442 ,19007 ,15427 ,19130 ,24919 ,209623 
121 ,286 ,SANTA ANA,-117.81,33.76,C,5,Y,553 ,44 ,32305 ,32151 ,42088 ,31804 ,30492 ,41682 ,36986 ,39335 ,44280 ,36203 ,41729 ,54787 ,463842 
122 ,288 ,WOODLAND HILLS,-118.6,34.16,A+,5,Y,593 ,120 ,57590 ,57316 ,75031 ,56697 ,54358 ,74306 ,62795 ,66784 ,75180 ,64540 ,74391 ,97669 ,816657 
123 ,289 ,CERRITOS,-118.07,33.87,C,5,Y,553 ,49 ,25671 ,25549 ,33445 ,25273 ,24230 ,33122 ,29390 ,31257 ,35187 ,28768 ,33160 ,43536 ,368587 
124 ,290 ,GARDENA,-118.3,33.89,A,5,Y,3806 ,62 ,43935 ,43726 ,57240 ,45416 ,43543 ,59522 ,50301 ,53496 ,60222 ,49237 ,56752 ,74510 ,637898 
125 ,291 ,RIVERSIDE,-117.36,33.93,B,5, ,553 ,24 ,36768 ,38423 ,50298 ,38007 ,36439 ,49812 ,42095 ,44769 ,50398 ,41205 ,47494 ,62355 ,538061 
126 ,293 ,FULLERTON,-117.9,33.88,B,5, ,553 ,40 ,35501 ,37099 ,48565 ,36698 ,35184 ,48096 ,40645 ,43227 ,48661 ,39785 ,45858 ,60207 ,519526 
127 ,294 ,N. HOLLYWOOD,-118.39,34.19,AA,5,Y,553 ,57 ,75877 ,75516 ,98856 ,74700 ,71619 ,97901 ,82734 ,87990 ,104005 ,85033 ,98013 ,128682 ,1080926 
128 ,296 ,POWAY,-117.02,32.98,A+,5, ,553 ,98 ,56059 ,58582 ,76688 ,57949 ,55558 ,75947 ,64181 ,68258 ,76840 ,62824 ,72413 ,95072 ,820370 
129 ,297 ,SAN BERNADINO,-117.28,34.18,C,5, ,553 ,17 ,23864 ,24938 ,32646 ,24669 ,23651 ,32330 ,27322 ,29057 ,32711 ,26744 ,30826 ,40472 ,349230 
130 ,298 ,VENTURA,-119.22,34.28,A+,5, ,593 ,131 ,50746 ,53030 ,69419 ,52457 ,50293 ,68749 ,58098 ,61789 ,69557 ,56869 ,65550 ,86061 ,742619 
131 ,299 ,NORTHRIDGE,-118.55,34.24,B,5,Y,593 ,114 ,43064 ,42860 ,56106 ,42397 ,40648 ,55564 ,49304 ,52436 ,59029 ,48261 ,55628 ,73034 ,618331 
132 ,300 ,MISSION VIEJO,-117.67,33.61,C,5,Y,3806 ,53 ,27980 ,27847 ,36453 ,27546 ,26409 ,36101 ,30508 ,32446 ,36526 ,31356 ,36142 ,47452 ,396767 
